"Statistic Label","Census Year","Province","Intercensal period","UNIT","VALUE"
"Natural Increase","2022","State","2011 - 2016","Number","198282"
"Natural Increase","2022","State","2016 - 2022","Number","167487"
"Natural Increase","2022","Connacht","1926 - 1936","Number","27138"
"Natural Increase","2022","Connacht","1936 - 1946","Number","19783"
"Natural Increase","2022","Connacht","1946 - 1951","Number","15241"
"Natural Increase","2022","Connacht","1951 - 1956","Number","14357"
"Natural Increase","2022","Connacht","1956 - 1961","Number","12759"
"Natural Increase","2022","Connacht","1961 - 1966","Number","10311"
"Natural Increase","2022","Connacht","1966 - 1971","Number","8706"
"Natural Increase","2022","Connacht","1971 - 1979","Number","19868"
"Natural Increase","2022","Connacht","1979 - 1981","Number","6272"
"Natural Increase","2022","Connacht","1981 - 1986","Number","14200"
"Natural Increase","2022","Connacht","1986 - 1991","Number","8582"
"Natural Increase","2022","Connacht","1991 - 1996","Number","4553"
"Natural Increase","2022","Connacht","1996 - 2002","Number","6968"
"Natural Increase","2022","Connacht","2002 - 2006","Number","10764"
"Natural Increase","2022","Connacht","2006 - 2011","Number","21305"
"Natural Increase","2022","Connacht","2011 - 2016","Number","18577"
"Natural Increase","2022","Connacht","2016 - 2022","Number","15223"
"Natural Increase","2022","Leinster","1926 - 1936","Number","75602"
"Natural Increase","2022","Leinster","1936 - 1946","Number","97347"
"Natural Increase","2022","Leinster","1946 - 1951","Number","70261"
"Natural Increase","2022","Leinster","1951 - 1956","Number","78460"
"Natural Increase","2022","Leinster","1956 - 1961","Number","80853"
"Natural Increase","2022","Leinster","1961 - 1966","Number","92709"
"Natural Increase","2022","Leinster","1966 - 1971","Number","95929"
"Natural Increase","2022","Leinster","1971 - 1979","Number","174751"
"Natural Increase","2022","Leinster","1979 - 1981","Number","48461"
"Natural Increase","2022","Leinster","1981 - 1986","Number","102789"
"Natural Increase","2022","Leinster","1986 - 1991","Number","75996"
"Natural Increase","2022","Leinster","1991 - 1996","Number","62678"
"Natural Increase","2022","Leinster","1996 - 2002","Number","92945"
"Natural Increase","2022","Leinster","2002 - 2006","Number","83759"
"Natural Increase","2022","Leinster","2006 - 2011","Number","138908"
"Natural Increase","2022","Leinster","2011 - 2016","Number","125174"
"Natural Increase","2022","Leinster","2016 - 2022","Number","107649"
"Natural Increase","2022","Munster","1926 - 1936","Number","50639"
"Natural Increase","2022","Munster","1936 - 1946","Number","46733"
"Natural Increase","2022","Munster","1946 - 1951","Number","34382"
"Natural Increase","2022","Munster","1951 - 1956","Number","35041"
"Natural Increase","2022","Munster","1956 - 1961","Number","33365"
"Natural Increase","2022","Munster","1961 - 1966","Number","37297"
"Natural Increase","2022","Munster","1966 - 1971","Number","37745"
"Natural Increase","2022","Munster","1971 - 1979","Number","74175"
"Natural Increase","2022","Munster","1979 - 1981","Number","20977"
"Natural Increase","2022","Munster","1981 - 1986","Number","42673"
"Natural Increase","2022","Munster","1986 - 1991","Number","28442"
"Natural Increase","2022","Munster","1991 - 1996","Number","20890"
"Natural Increase","2022","Munster","1996 - 2002","Number","31705"
"Natural Increase","2022","Munster","2002 - 2006","Number","31340"
"Natural Increase","2022","Munster","2006 - 2011","Number","54767"
"Natural Increase","2022","Munster","2011 - 2016","Number","45017"
"Natural Increase","2022","Munster","2016 - 2022","Number","36157"
"Natural Increase","2022","Ulster (part of)","1926 - 1936","Number","9800"
"Natural Increase","2022","Ulster (part of)","1936 - 1946","Number","9935"
"Natural Increase","2022","Ulster (part of)","1946 - 1951","Number","8091"
"Natural Increase","2022","Ulster (part of)","1951 - 1956","Number","6576"
"Natural Increase","2022","Ulster (part of)","1956 - 1961","Number","5103"
"Natural Increase","2022","Ulster (part of)","1961 - 1966","Number","5949"
"Natural Increase","2022","Ulster (part of)","1966 - 1971","Number","5772"
"Natural Increase","2022","Ulster (part of)","1971 - 1979","Number","12241"
"Natural Increase","2022","Ulster (part of)","1979 - 1981","Number","4523"
"Natural Increase","2022","Ulster (part of)","1981 - 1986","Number","9459"
"Natural Increase","2022","Ulster (part of)","1986 - 1991","Number","6226"
"Natural Increase","2022","Ulster (part of)","1991 - 1996","Number","3945"
"Natural Increase","2022","Ulster (part of)","1996 - 2002","Number","5617"
"Natural Increase","2022","Ulster (part of)","2002 - 2006","Number","5451"
"Natural Increase","2022","Ulster (part of)","2006 - 2011","Number","11132"
"Natural Increase","2022","Ulster (part of)","2011 - 2016","Number","9514"
"Natural Increase","2022","Ulster (part of)","2016 - 2022","Number","8458"
"Actual Change","2022","State","1926 - 1936","Number","-3572"
"Actual Change","2022","State","1936 - 1946","Number","-13313"
"Actual Change","2022","State","1946 - 1951","Number","5486"
"Actual Change","2022","State","1951 - 1956","Number","-62329"
"Actual Change","2022","State","1956 - 1961","Number","-79923"
"Actual Change","2022","State","1961 - 1966","Number","65661"
"Actual Change","2022","State","1966 - 1971","Number","94246"
"Actual Change","2022","State","1971 - 1979","Number","389969"
"Actual Change","2022","State","1979 - 1981","Number","75188"
"Actual Change","2022","State","1981 - 1986","Number","97238"
"Actual Change","2022","State","1986 - 1991","Number","-14924"
"Actual Change","2022","State","1991 - 1996","Number","100368"
"Actual Change","2022","State","1996 - 2002","Number","291116"
"Actual Change","2022","State","2002 - 2006","Number","322645"
"Actual Change","2022","State","2006 - 2011","Number","348404"
"Actual Change","2022","State","2011 - 2016","Number","173613"
"Actual Change","2022","State","2016 - 2022","Number","387274"
"Actual Change","2022","Connacht","1926 - 1936","Number","-27439"
"Actual Change","2022","Connacht","1936 - 1946","Number","-32671"
"Actual Change","2022","Connacht","1946 - 1951","Number","-20902"
"Actual Change","2022","Connacht","1951 - 1956","Number","-25674"
"Actual Change","2022","Connacht","1956 - 1961","Number","-26756"
"Actual Change","2022","Connacht","1961 - 1966","Number","-17515"
"Actual Change","2022","Connacht","1966 - 1971","Number","-11048"
"Actual Change","2022","Connacht","1971 - 1979","Number","27598"
"Actual Change","2022","Connacht","1979 - 1981","Number","5910"
"Actual Change","2022","Connacht","1981 - 1986","Number","6999"
"Actual Change","2022","Connacht","1986 - 1991","Number","-8378"
"Actual Change","2022","Connacht","1991 - 1996","Number","10200"
"Actual Change","2022","Connacht","1996 - 2002","Number","31065"
"Actual Change","2022","Connacht","2002 - 2006","Number","39825"
"Actual Change","2022","Connacht","2006 - 2011","Number","38426"
"Actual Change","2022","Connacht","2011 - 2016","Number","8141"
"Actual Change","2022","Connacht","2016 - 2022","Number","40675"
"Actual Change","2022","Leinster","1926 - 1936","Number","71319"
"Actual Change","2022","Leinster","1936 - 1946","Number","60706"
"Actual Change","2022","Leinster","1946 - 1951","Number","55459"
"Actual Change","2022","Leinster","1951 - 1956","Number","2366"
"Actual Change","2022","Leinster","1956 - 1961","Number","-6793"
"Actual Change","2022","Leinster","1961 - 1966","Number","82266"
"Actual Change","2022","Leinster","1966 - 1971","Number","83725"
"Actual Change","2022","Leinster","1971 - 1979","Number","245721"
"Actual Change","2022","Leinster","1979 - 1981","Number","46660"
"Actual Change","2022","Leinster","1981 - 1986","Number","62128"
